Grantee Name ,Amount Awarded,Date of Approval (listed as month/day/year),Duration of Grant (Months),Organization City,Organization State,Region
UK PROGRAM,,,,,,
2017 Grants,,,,,,
British Future," £160,000.00 ",2/27/2017,24,London,,United Kingdom
Chancellor Masters & Scholars of the University of Oxford," £55,000.00 ",7/12/2017,36,Oxford,,United Kingdom
Citizens UK," £180,000.00 ",2/27/2017,24,London,,United Kingdom
Counterpoints Arts," £120,000.00 ",11/15/2017,24,London,,United Kingdom
Counterpoints Arts," £180,000.00 ",2/27/2017,24,London,,United Kingdom
Education Policy Institute," £60,000.00 ",11/15/2017,24,London,,United Kingdom
Focus on Labour Exploitation," £50,000.00 ",11/15/2017,24,London,,United Kingdom
Get Together Ltd," £100,000.00 ",11/15/2017,12,London,,United Kingdom
Global Dialogue," £300,000.00 ",7/12/2017,24,London,,United Kingdom
HOPE not hate Charitable Trust," £120,000.00 ",7/12/2017,12,London,,United Kingdom
Immigration Law Practitioners' Association," £40,000.00 ",7/12/2017,24,London,,United Kingdom
JustRight Scotland LLP," £100,000.00 ",7/12/2017,24,Glasgow,,United Kingdom
Latin American Women’s Rights Service," £80,000.00 ",11/15/2017,24,London,,United Kingdom
Migrants Resource Centre," £100,000.00 ",7/12/2017,24,London,,United Kingdom
New Philanthropy Capital," £375,000.00 ",11/15/2017,36,London,,United Kingdom
Refugee Action," £100,000.00 ",7/12/2017,24,London,,United Kingdom
Social Finance Ltd," £100,000.00 ",7/12/2017,12,London,,United Kingdom
Social Finance Ltd," £50,000.00 ",11/15/2017,10,London,,United Kingdom
The Social Market Foundation," £80,000.00 ",11/15/2017,24,London,,United Kingdom
The Aziz Foundation," £50,000.00 ",7/12/2017,24,London,,United Kingdom
The Bell Educational Trust Limited," £135,000.00 ",2/27/2017,24,Cambridge,,United Kingdom
The Public Law Project," £100,000.00 ",7/12/2017,24,London,,United Kingdom
,,,,,,
,,,,,,
2016 Grants,,,,,,
Asylum Research Consultancy," £50,000.00 ",11/16/2016,24,London,,United Kingdom
Asylum Support Appeals Project," £60,000.00 ",2/2/2016,36,London,,United Kingdom
BtB Education Limited," £125,000.00 ",3/16/2016,24,London,,United Kingdom
Centre for the Study of Emotion and Law," £60,000.00 ",2/2/2016,24,London,,United Kingdom
Democracy Club Community Interest Company," £100,000.00 ",11/16/2016,24,Cambridge,,United Kingdom
HOPE not hate Educational Limited," £200,000.00 ",3/16/2016,30,London,,United Kingdom
Immigration Law Practitioners' Association," £150,000.00 ",8/3/2016,36,London,,United Kingdom
International Centre for Social Franchising," £67,000.00 ",11/16/2016,24,London,,United Kingdom
Joint Council for the Welfare of Immigrants," £150,000.00 ",11/16/2016,30,London,,United Kingdom
Market and Opinion Research International Limited," £30,000.00 ",2/2/2016,12,London,,United Kingdom
Migration Museum Project," £90,000.00 ",2/2/2016,36,London,,United Kingdom
Modern Brit Ltd," £50,000.00 ",2/2/2016,12,Guildford,,United Kingdom
Paul Hamlyn Foundation (Supported Options Initiative)," £170,000.00 ",8/3/2016,36,London,,United Kingdom
RECLAIM Project Ltd," £60,000.00 ",11/16/2016,24,London,,United Kingdom
Refugee Action," £120,000.00 ",2/2/2016,36,London,,United Kingdom
Social Finance Ltd," £55,000.00 ",11/16/2016,6,London,,United Kingdom
Stuart Hall Foundation (Arts programs related to migrants and refugees)," £90,000.00 ",11/16/2016,36,London,,United Kingdom
The British Red Cross Society," £300,000.00 ",11/16/2016,36,London,,United Kingdom
The Legal Education Foundation (Justice First Fellowship)," £120,000.00 ",8/3/2016,24,London,,United Kingdom
The National Council for Civil Liberties," £150,000.00 ",11/16/2016,30,London,,United Kingdom
The Resolution Foundation (Research on temporary agency workers)," £60,000.00 ",8/3/2016,24,London,,United Kingdom
Trinity Mirror plc," £80,000.00 ",11/16/2016,12,London,,United Kingdom
"Trust for London Trustee (London Citizenship and
Integration Initiative)"," £220,000.00 ",11/16/2016,24,London,,United Kingdom
,,,,,,
,,,,,,
2015 Grants,,,,,,
British Future," £180,000.00 ",2/18/2015,24,London,,United Kingdom
BtB Education Limited," £40,000.00 ",7/7/2015,12,London,,United Kingdom
Central England Law Centre Limited," £150,000.00 ",11/17/2015,36,Coventry,,United Kingdom
City of Sanctuary," £90,000.00 ",11/17/2015,36,Leeds,,United Kingdom
Common Purpose International," £25,000.00 ",11/17/2015,12,London,,United Kingdom
EFA London," £28,500.00 ",2/18/2015,18,London,,United Kingdom
Global Dialogue," £50,000.00 ",7/7/2015,24,London,,United Kingdom
Global Dialogue," £300,000.00 ",11/17/2015,24,London,,United Kingdom
HOPE not hate Educational Limited," £110,000.00 ",7/7/2015,12,London,,United Kingdom
Immigration Law Practitioners' Association," £30,000.00 ",11/13/2015,12,London,,United Kingdom
Institute for Public Policy Research," £40,000.00 ",7/7/2015,24,London,,United Kingdom
Just for Kids Law," £100,000.00 ",11/17/2015,24,London,,United Kingdom
JUSTICE," £30,000.00 ",11/13/2015,16,London,,United Kingdom
Migrant and Refugee Communities Forum," £60,500.00 ",7/7/2015,18,London,,United Kingdom
New Economy Organisers Network," £30,000.00 ",11/17/2015,36,London,,United Kingdom
Rights of Women," £40,000.00 ",7/7/2015,24,London,,United Kingdom
Social Change Initiative," £130,000.00 ",11/17/2015,36,Belfast,,United Kingdom
Southall Black Sisters," £75,000.00 ",7/7/2015,30,London,,United Kingdom
The Education Endowment Foundation (English as Additional Language projects)," £600,000.00 ",2/20/2015,36,London,,United Kingdom
University of Kent," £55,000.00 ",2/18/2015,36,Canterbury,,United Kingdom
Women for Refugee Women," £75,000.00 ",7/7/2015,30,London,,United Kingdom
,,,,,,
,,,,,,
2014 Grants,,,,,,
America's Voice Education Fund (International learning exchange)," $42,500.00 ",12/11/2014,12,Washington,District of Columbia,United States
Advice on Individual Rights in Europe," £90,000.00 ",12/8/2014,24,London,,United Kingdom
Bite the Ballot CIC," £30,000.00 ",9/18/2014,12,London,,United Kingdom
British Refugee Council ," £15,000.00 ",9/18/2014,12,London,,United Kingdom
Centro Presente Inc (International learning exchange)," $65,000.00 ",2/24/2014,24,Somerville,Massachusetts,United States
Migration Observatory," £150,000.00 ",12/8/2014,29,Oxford,,United Kingdom
Citizens UK," £225,000.00 ",2/24/2014,36,London,,United Kingdom
Coram Children's Legal Centre Limited," £120,000.00 ",6/24/2014,36,London,,United Kingdom
Counterpoints Arts," £180,000.00 ",2/24/2014,36,London,,United Kingdom
Ealing Law Centre," £40,000.00 ",2/24/2014,12,London,,United Kingdom
Hope not Hate Educational Limited," £200,000.00 ",2/24/2014,18,London,,United Kingdom
JUSTICE," £90,000.00 ",12/8/2014,36,London,,United Kingdom
IPSOS MORI," £20,000.00 ",9/18/2014,12,London,,United Kingdom
MASS1 Ltd," £75,000.00 ",12/8/2014,12,London,,United Kingdom
Praxis Community Projects," £50,000.00 ",9/18/2014,18,London,,United Kingdom
Project Seventeen," £40,000.00 ",9/18/2014,24,London,,United Kingdom
Purpose Europe Ltd," £75,000.00 ",12/8/2014,12,London,,United Kingdom
Refugee Support Network," £50,000.00 ",7/14/2014,24,London,,United Kingdom
Resolution Foundation (Research on social care workforce)," £15,000.00 ",2/24/2014,18,London,,United Kingdom
Solicitors Regulation Authority," £40,000.00 ",6/24/2014,12,Birmingham,,United Kingdom
Student Action for Refugees," £105,000.00 ",6/24/2014,36,London,,United Kingdom
Swarm Partners Ltd," £80,000.00 ",12/8/2014,12,London,,United Kingdom
The Bell Educational Trust Limited (English as Additional Language projects)," £60,000.00 ",6/24/2014,30,Cambridge,,United Kingdom
The Legal Education Foundation (Justice First Fellowship)," £120,000.00 ",9/18/2014,24,Kent,,United Kingdom
Trust for London Trustee (Strategic Legal Fund)," £40,000.00 ",9/18/2014,24,London,,United Kingdom
,,,,,,
,,,,,,
2013 Grants,,,,,,
Amnesty International (UK Section) Charitable Trust," £69,000.00 ",8/8/2013,36,London,,
Asylum Aid," £150,000.00 ",8/8/2013,24,London,,United Kingdom
Bail for Immigration Detainees," £150,000.00 ",2/22/2013,36,London,,United Kingdom
Bail for Immigration Detainees," £90,000.00 ",12/9/2013,36,London,,United Kingdom
Caring Across Generations (International exchange between Caring Across Generations and Citizens UK)," $10,000.00 ",5/22/2013,28,,,United States
Centre for Reform," £20,000.00 ",5/22/2013,18,London,,United Kingdom
Centre for the Study of Emotion and Law," £60,000.00 ",2/22/2013,24,London,,United Kingdom
City of Sanctuary," £60,000.00 ",12/9/2013,24,Leeds,,United Kingdom
Coventry Law Centre," £90,000.00 ",12/9/2013,24,Coventry,,United Kingdom
Employability Forum," £90,000.00 ",8/8/2013,19,London,,United Kingdom
Global Dialogue," £75,000.00 ",2/22/2013,36,London,,United Kingdom
Immigration Law Practitioners' Association ," £120,000.00 ",5/22/2013,36,London,,United Kingdom
Institute for Public Policy Research," £60,000.00 ",2/22/2013,24,London,,United Kingdom
Migrant and Refugee Communities Forum ," £60,000.00 ",12/9/2013,18,London,,United Kingdom
Migrants' Rights Network," £120,000.00 ",8/8/2013,36,London,,United Kingdom
Migration Museum Project," £60,000.00 ",5/22/2013,36,London,,United Kingdom
Paul Hamlyn Foundation (Supported Options Initiative)," £120,000.00 ",5/22/2013,36,London,,United Kingdom
Praxis Community Projects," £60,000.00 ",8/8/2013,18,London,,United Kingdom
Southall Black Sisters," £90,000.00 ",2/22/2013,24,London,,United Kingdom
Swarm Partners Ltd," £60,000.00 ",12/9/2013,12,London,,United Kingdom
The Education Endowment Foundation (Literature reviews by leading educational researchers to understand the educational disadvantage by migrant/minority pupils)," £30,000.00 ",8/8/2013,12,London,,United Kingdom
The Legal Education Foundation (Future Advice Fund)," £120,000.00 ",12/9/2013,24,London,,United Kingdom
The Public Law Project," £90,000.00 ",12/9/2013,36,London,,United Kingdom
"The Royal Society for the Encouragement of Arts, Manufactures and Commerce "," £80,000.00 ",2/22/2013,24,London,,United Kingdom
Uprising Leadership," £60,000.00 ",8/8/2013,18,London,,United Kingdom
,,,,,,
,,,,,,
2012 Grants,,,,,,
Asylum Support Appeals Project," £60,000.00 ",7/25/2012,41,London,,United Kingdom
Barrow Cadbury Trust (Changing Minds)," £20,000.00 ",2/26/2012,24,London,,United Kingdom
Barrow Cadbury Trust (To develop rapid rebuttal mechanism)," £50,000.00 ",11/8/2012,24,London,,United Kingdom
Migration Observatory," £150,000.00 ",7/26/2012,24,Oxford,,United Kingdom
Citizens UK," £150,000.00 ",5/10/2012,24,London,,United Kingdom
Coram Children's Legal Centre Limited," £120,000.00 ",11/8/2012,36,London,,
Eaves Housing for Women Ltd," £50,000.00 ",5/21/2012,26,London,,United Kingdom
Hope not Hate Educational Limited," £120,000.00 ",2/26/2012,24,London,,United Kingdom
Institute for Public Policy Research," £20,000.00 ",5/22/2012,10,London,,United Kingdom
Law Centres Federation," £75,000.00 ",7/26/2012,41,London,,United Kingdom
Legal Action Group," £50,000.00 ",5/10/2012,23,London,,United Kingdom
 IPSOS MORI," £15,000.00 ",11/8/2012,12,London,,United Kingdom
National Institute for Economic and Social Reseach ," £20,000.00 ",7/25/2012,12,London,,United Kingdom
Resolution Foundation," £40,000.00 ",11/8/2012,10,London,,United Kingdom
Rights of Women," £105,000.00 ",11/8/2012,36,London,,United Kingdom
Student Action for Refugees," £90,000.00 ",11/8/2012,24,London,,United Kingdom
The Baring Foundation (Future Advice Providers Fund)," £90,000.00 ",5/10/2012,24,London,,United Kingdom
Toynbee Hall," £91,000.00 ",11/8/2012,24,London,,United Kingdom
"University of Kent, Kent Law School"," £90,000.00 ",2/26/2012,36,Kent,,United Kingdom
Women for Refugee Women," £60,000.00 ",11/8/2012,24,London,,United Kingdom
,,,,,,
,,,,,,
2011 Grants,,,,,,
Asylum Aid," £150,000.00 ",10/2/2011,24,London,,United Kingdom
Bail for Immigration Detainees," £130,000.00 ",10/1/2011,24,London,,United Kingdom
British Future," £299,088.00 ",2/12/2011,36,London,,United Kingdom
Centre for the Study of Emotion and Law," £70,000.00 ",10/2/2011,29,London,,United Kingdom
Coram Children's Legal Centre Limited," £65,000.00 ",10/2/2011,12,London,,United Kingdom
Counterpoints Arts," £100,000.00 ",10/2/2011,18,London,,United Kingdom
Equality and Diversity Forum," £25,000.00 ",3/1/2011,10,London,,United Kingdom
Immigration Law Practitioners' Association ," £100,000.00 ",7/18/2011,32,London,,United Kingdom
Institute for Public Policy Research ," £60,000.00 ",2/12/2011,24,London,,United Kingdom
Migrants' Rights Network," £120,000.00 ",10/2/2011,24,London,,United Kingdom
Migration Museum Project," £7,500.00 ",3/1/2011,13,London,,United Kingdom
Paul Hamlyn Foundation (Supported Options Fund)," £120,000.00 ",2/12/2011,24,London,,United Kingdom
Solicitors Pro Bono Group ," £60,000.00 ",10/2/2011,24,London,,United Kingdom
Southall Black Sisters," £90,000.00 ",10/2/2011,24,London,,United Kingdom
Women for Refugee Women," £60,000.00 ",7/18/2011,24,London,,United Kingdom
,,,,,,
,,,,,,
2010 Grants,,,,,,
Citizens UK," £100,000.00 ",7/18/2010,24,London,,United Kingdom
Coram Children's Legal Centre Limited," £65,019.25 ",7/18/2010,6,London,,United Kingdom
Coram Children's Legal Centre Limited," £23,092.00 ",11/7/2010,6,London,,United Kingdom
Global Dialogue," £5,000.00 ",4/26/2010,3,London,,United Kingdom
Institute for Public Policy Research," £31,000.00 ",2/20/2010,12,London,,
Migrants' Rights Network," £25,000.00 ",11/7/2010,17,London,,United Kingdom
Rights of Women," £60,000.00 ",11/7/2010,39,London,,United Kingdom
Student Action for Refugees," £60,000.00 ",11/7/2010,24,London,,United Kingdom
University of Manchester (Institute for Social Change)," £50,000.00 ",7/18/2010,48,Manchester,,United Kingdom
,,,,,,
,,,,,,
2009 Grants ,,,,,,
Asylum Aid," $178,711.81 ",11/22/2009,24,London,,United Kingdom
Bail for Immigration Detainees," $197,535.59 ",10/4/2009,24,London,,United Kingdom
Migration Observatory," $525,000.00 ",10/4/2009,48,Oxford,,United Kingdom
Citizens UK," $75,000.00 ",6/22/2009,12,London,,United Kingdom
Coram Children's Legal Centre Limited," $159,995.51 ",10/4/2009,24,London,,United Kingdom
Immigration Law Practitioners' Association ," $199,603.06 ",10/4/2009,24,London,,United Kingdom
Migrants' Rights Network," $210,592.29 ",11/22/2009,24,London,,United Kingdom
Refugee and Migrant Justice," $110,134.35 ",10/4/2009,24,London,,United Kingdom
,,,,,,
,,,,,,
2008 Grants ,,,,,,
Friends of New Philanthropy Capital Inc. (Re-granting to UK charities)," $200,000.00 ",11/6/2008,12,Alexandria,Virginia,United States
,,,,,,
,,,,,,
Grantee Name ,Amount Awarded,Date of Approval,Duration of Grant (Months),Organization City,Organization State,Region
US Program,,,,,,
2017 Grants,,,,,,
Aliento," $35,000.00 ",12/5/2017,12,,,United States
America's Voice Education Fund," $350,000.00 ",4/13/2017,24,Washington,District of Columbia,United States
American Immigration Council Inc.," $250,000.00 ",4/13/2017,24,Washington,District of Columbia,United States
Asian Americans Advancing Justice - AAJC Inc," $72,000.00 ",6/21/2017,18,District of Columbia,Washington,United States
Asian Pacific Institute on Gender-Based Violence," $262,500.00 ",4/13/2017,18,Oakland,California,United States
Black Alliance for Just Immigration," $110,000.00 ",9/26/2017,12,Brooklyn,New York,United States
Black Organizing for Leadership and Dignity," $50,000.00 ",12/5/2017,12,Washington,District of Columbia,United States
Center for American Progress," $50,000.00 ",12/13/2017,6,Washington,District of Columbia,United States
Church World Service," $300,000.00 ",4/13/2017,24,Washington,District of Columbia,United States
Coalition for Humane Immigrant Rights," $45,000.00 ",6/21/2017,12,Los Angeles,California,United States
"Committee Against Anti-Asian Violence, Inc"," $50,000.00 ",4/13/2017,12,New York,New York,United States
Define American," $100,000.00 ",6/21/2017,12,Louisville,Kentucky,United States
Educators for Fair Consideration," $50,000.00 ",9/26/2017,12,San Francisco,California,United States
Florida 501(c)(3) Civic Engagement Table," $85,000.00 ",6/21/2017,12,Washington,District of Columbia,United States
"Florida Immigrant Coalition, Inc."," $50,000.00 ",7/23/2017,12,Miami,Florida,United States
"Florida Immigrant Coalition, Inc."," $175,000.00 ",12/5/2017,12,Miami,Florida,United States
International Refugee Assistance Project," $75,000.00 ",12/5/2017,12,New York,New York,United States
Migration Policy Institute," $25,000.00 ",12/9/2017,6,Washington,District of Columbia,United States
NALEO Educational Fund," $100,000.00 ",9/26/2017,24,Los Angeles,California,United States
"National Domestic Workers Alliance, Inc"," $150,000.00 ",9/26/2017,12,New York,New York,United States
National Immigration Law Center," $603,500.00 ",9/26/2017,24,Los Angeles,California,United States
National Korean American Service & Education Consortium," $20,000.00 ",9/10/2017,6,Chicago,Illinois,United States
National Partnership For New Americans," $75,000.00 ",7/4/2017,12,Chicago,Illinois,United States
"NEO Philanthropy, Inc."," $850,000.00 ",3/7/2017,12,New York,New York,United States
New Orleans Workers Center for Racial Justice," $100,000.00 ",9/26/2017,12,New Orleans,Louisiana,United States
New York Immigration Coalition Inc," $100,000.00 ",4/13/2017,12,New York,New York,United States
"Partnership for a New American Economy Research Fund, Inc."," $150,000.00 ",6/21/2017,18,New York,New York,United States
PICO National Network," $185,000.00 ",6/21/2017,18,Washington,District of Columbia,United States
Proteus Fund Inc," $100,000.00 ",4/13/2017,12,Amherst,Massachusetts,United States
Puente Human Rights Movement," $30,000.00 ",2/10/2017,14,Phoenix,Arizona,United States
Puente Human Rights Movement," $110,000.00 ",9/26/2017,18,Phoenix,Arizona,United States
Refugee Council USA," $60,000.00 ",3/16/2017,12,Washington,District of Columbia,United States
Southern Poverty Law Center Inc," $200,000.00 ",12/5/2017,24,Montgomery,Alabama,United States
Streetwide," $50,000.00 ",12/5/2017,12,Brooklyn,New York,United States
Tennessee Immigrant and Refugee Rights Coalition," $50,000.00 ",9/26/2017,12,Nashville,Tennessee,United States
The Regents of the University of California San Diego," $150,000.00 ",6/21/2017,24,La Jolla,California,United States
Truman Center for National Policy," $20,000.00 ",4/13/2017,12,Washington,District of Columbia,United States
UndocuBlack Network," $50,000.00 ",9/26/2017,12,Washington,District of Columbia,United States
United We Dream Network Inc," $50,000.00 ",3/10/2017,25,Washington,District of Columbia,United States
United We Dream Network Inc," $600,000.00 ",6/21/2017,24,Washington,District of Columbia,United States
United We Dream Network Inc," $100,000.00 ",9/28/2017,6,Washington,District of Columbia,United States
Urban Institute," $25,000.00 ",9/26/2017,4,Washington,District of Columbia,United States
,,,,,,
,,,,,,
2016 Grants,,,,,,
AAPI Civic Engagement Fund," $20,000.00 ",10/29/2016,6,Redondo Beach,California,United States
American Civil Liberties Union Foundation Inc. (Immigrants Rights Project)," $200,000.00 ",9/28/2016,24,New York,New York,United States
Arizona Dream Act Coalition," $35,000.00 ",8/3/2016,12,Phoenix,Arizona,United States
Asian Pacific Institute on Gender-Based Violence," $32,500.00 ",6/23/2016,9,Oakland,California,United States
Black Alliance for Just Immigration," $25,000.00 ",5/3/2016,12,Brooklyn,New York,United States
Black Alliance for Just Immigration," $100,000.00 ",9/28/2016,12,Brooklyn,New York,United States
Black Organizing for Leadership and Dignity," $50,000.00 ",12/6/2016,12,Washington,District of Columbia,United States
Center for Progressive Reform Inc," $20,000.00 ",9/28/2016,12,Washington,District of Columbia,United States
Church World Service," $125,000.00 ",3/1/2016,12,Washington,District of Columbia,United States
Coalition for Humane Immigrant Rights of Los Angeles," $45,000.00 ",6/23/2016,12,Los Angeles,California,United States
ColorOfChange.org Education Fund," $150,000.00 ",3/1/2016,24,Oakland,California,United States
Common Counsel Foundation (Immigrant rights advocacy)," $255,000.00 ",9/28/2016,15,Oakland,California,United States
CultureStrike," $150,000.00 ",12/6/2016,18,Oakland,California,United States
Define American," $100,000.00 ",3/1/2016,12,Louisville,Kentucky,United States
Educators for Fair Consideration," $25,000.00 ",9/28/2016,12,San Francisco,California,United States
Florida 501(c)(3) Civic Engagement Table," $100,000.00 ",6/23/2016,12,Washington,District of Columbia,United States
"Florida Immigrant Coalition, Inc."," $100,000.00 ",12/6/2016,12,Miami,Florida,United States
Grantmakers Concerned with Immigrants and Refugees," $120,000.00 ",3/1/2016,24,Sebastopol,California,United States
Immigrant Legal Resource Center," $125,000.00 ",9/28/2016,18,San Francisco,California,United States
Mi Familia Vota Education Fund," $75,000.00 ",6/23/2016,12,Phoenix,Arizona,United States
Migration Policy Institute," $200,000.00 ",9/28/2016,24,Washington,District of Columbia,United States
Mobilize the Immigrant Vote," $20,000.00 ",12/6/2016,12,Oakland,California,United States
NALEO Educational Fund," $25,000.00 ",9/28/2016,12,Los Angeles,California,United States
National Council of La Raza," $50,000.00 ",9/28/2016,9,Washington,District of Columbia,United States
National Day Laborer Organizing Network," $150,000.00 ",9/28/2016,18,Los Angeles,California,United States
"National Domestic Workers Alliance, Inc."," $49,500.00 ",3/15/2016,4,New York,New York,United States
"National Domestic Workers Alliance, Inc."," $150,000.00 ",9/28/2016,12,New York,New York,United States
National Immigration Law Center," $100,000.00 ",4/2/2016,9,Los Angeles,California,United States
"National Immigration Project of the National Lawyers Guild, Inc."," $150,000.00 ",12/6/2016,24,Boston,Massachusetts,United States
National Partnership For New Americans," $75,000.00 ",3/1/2016,12,Chicago,Illinois,United States
National Queer Asian Pacific Islander Alliance," $60,000.00 ",3/1/2016,24,New York,New York,United States
"NEO Philanthropy, Inc. (State Infrastructure Fund)"," $200,000.00 ",12/6/2016,24,New York,New York,United States
"NEO Philanthropy, Inc. (Four Freedoms Fund)"," $750,000.00 ",3/16/2016,12,New York,New York,United States
New American Leaders Project," $110,000.00 ",3/1/2016,24,New York,New York,United States
New Orleans Workers Center for Racial Justice," $100,000.00 ",12/6/2016,12,New Orleans,Louisiana,United States
"Partnership for a New American Economy Research Fund, Inc."," $100,000.00 ",7/1/2016,12,New York,New York,United States
