Grantee Name ,Amount Awarded,Date of Approval (listed as month/day/year),Duration of Grant (Months),Organization City,Organization State,Region
PICO National Network," $130,000.00 ",7/1/2016,12,Washington,District of Columbia,United States
Puente Human Rights Movement," $55,000.00 ",8/3/2016,12,Phoenix,Arizona,United States
Race Forward," $25,000.00 ",7/1/2016,6,New York,New York,United States
"Pop Culture Collaborative Fund, a project of Rockefeller Philanthropy Advisors"," $875,000.00 ",12/6/2016,12,New York,New York,United States
The Center for National Policy," $70,000.00 ",4/15/2016,12,Washington,District of Columbia,United States
The Opportunity Agenda," $140,000.00 ",3/1/2016,24,New York,New York,United States
"Voices of Our Nations Arts Foundation, Inc."," $100,000.00 ",9/28/2016,24,Fair Haven,New Jersey,United States
Welcoming America Inc.," $131,250.00 ",12/6/2016,12,Decatur,Georgia,United States
,,,,,,
,,,,,,
2015 Grants ,,,,,,
America's Voice Education Fund," $161,250.00 ",9/30/2015,18,Washington,District of Columbia,United States
#Not1More," $75,000.00 ",12/17/2015,18,Phoenix,Arizona,United States
American Immigration Council Inc.," $233,300.00 ",5/27/2015,20,Washington,District of Columbia,United States
Arizona Dream Act Coalition," $100,000.00 ",2/24/2015,12,Phoenix,Arizona,United States
Arts in a Changing America," $27,000.00 ",9/10/2015,12,New York,New York,United States
Asian American Writers' Workshop," $50,000.00 ",12/3/2015,24,New York,New York,United States
Asian Pacific Environmental Network," $30,000.00 ",9/30/2015,12,Oakland,California,United States
Black Alliance for Just Immigration," $110,000.00 ",12/17/2015,12,Brooklyn,New York,United States
Black Organizing for Leadership and Dignity," $50,000.00 ",12/17/2015,12,Washington,District of Columbia,United States
California Immigrant Youth Justice Alliance," $60,000.00 ",5/27/2015,12,Los Angeles,California,United States
"Catholic Legal Immigration Network, Inc."," $200,000.00 ",5/27/2015,12,Silver Spring,Maryland,United States
Common Counsel Foundation (Immigrant rights advocacy)," $102,000.00 ",12/17/2015,12,Oakland,California,United States
Common Counsel Foundation (Immigrant rights advocacy)," $147,900.00 ",9/30/2015,12,Oakland,California,United States
CultureStrike," $165,000.00 ",6/30/2015,18,Berkeley,California,United States
Define American," $200,000.00 ",2/24/2015,18,New York,New York,United States
"Florida Immigrant Coalition, Inc."," $100,000.00 ",12/17/2015,12,Miami,Florida,United States
Futuro Media Group," $60,000.00 ",12/11/2015,24,New York,New York,United States
Grantmakers for Effective Organizations," $3,050.00 ",4/28/2015,12,Washington,District of Columbia,United States
Immigrant Legal Resource Center," $100,000.00 ",6/30/2015,15,San Francisco,California,United States
Institute for Asian Pacific American Leadership and Advancement," $5,000.00 ",8/7/2015,12,Washington,District of Columbia,United States
Institute for Justice and Journalism," $12,500.00 ",1/20/2015,8,Berkeley,California,United States
Leadership Conference Education Fund Inc," $75,000.00 ",12/11/2015,12,Washington,District of Columbia,United States
Mayor's Fund to Advance New York City," $10,000.00 ",5/12/2015,6,New York,New York,United States
Mobilize the Immigrant Vote," $50,000.00 ",12/17/2015,12,Oakland,California,United States
National Day Laborer Organizing Network," $150,000.00 ",6/30/2015,15,Los Angeles,California,United States
"National Domestic Workers Alliance, Inc"," $150,000.00 ",9/30/2015,12,New York,New York,United States
National Immigration Law Center," $30,000.00 ",12/13/2015,6,Los Angeles,California,United States
National Immigration Law Center," $350,000.00 ",9/30/2015,24,Los Angeles,California,United States
National Partnership for New Americans," $75,000.00 ",6/30/2015,12,Chicago,Illinois,United States
NEO Philanthropy (Four Freedoms Fund and State Infrastructure Fund)," $850,000.00 ",9/30/2015,12,New York,New York,United States
New American Leaders Project," $40,000.00 ",2/24/2015,12,New York,New York,United States
New Orleans Workers Center for Racial Justice," $120,000.00 ",9/30/2015,12,New Orleans,Louisiana,United States
New York Immigration Coalition Inc," $100,000.00 ",12/17/2015,12,New York,New York,United States
New York Immigration Coalition Inc," $15,000.00 ",12/11/2015,3,New York,New York,United States
"Partnership for a New American Economy Research Fund, Inc."," $100,000.00 ",6/30/2015,12,New York,New York,United States
PICO National Network," $125,000.00 ",6/30/2015,12,Oakland,California,United States
Presente.org," $75,000.00 ",2/24/2015,12,Berkeley,California,United States
Puente Human Rights Movement," $62,500.00 ",5/27/2015,15,Phoenix,Arizona,United States
Rabble Rouser Media Inc.," $15,000.00 ",5/7/2015,6,New York,New York,United States
Southern Poverty Law Center Inc," $200,000.00 ",12/17/2015,24,Montgomery,Alabama,United States
United We Dream Network Inc," $670,000.00 ",5/27/2015,25,Washington,District of Columbia,United States
"Voices of Our Nations Arts Foundation, a project of Media Alliance"," $50,000.00 ",9/30/2015,12,Philadelphia,Pennsylvania,United States
Welcoming America Inc," $40,000.00 ",2/24/2015,12,Decatur,Georgia,United States
,,,,,,
,,,,,,
2014 Grants ,,,,,,
America's Voice Education Fund," $315,000.00 ",6/25/2014,16,Washington,District of Columbia,United States
American Civil Liberties Union Foundation Inc.," $200,000.00 ",9/19/2014,24,New York,New York,United States
American Immigration Council Inc.," $125,000.00 ",6/25/2014,12,Washington,District of Columbia,United States
Black Alliance for Just Immigration," $100,000.00 ",2/25/2014,18,Oakland,California,United States
California Immigrant Youth Justice Alliance," $65,000.00 ",2/22/2014,12,Los Angeles,California,United States
Caring Across Generations," $75,000.00 ",2/25/2014,12,New York,New York,United States
"Catholic Legal Immigration Network, Inc."," $100,000.00 ",12/11/2014,12,Silver Spring,Maryland,United States
CultureStrike," $116,200.00 ",6/25/2014,12,Berkeley,California,United States
Florida Immigration Coalition," $50,000.00 ",12/11/2014,12,Miami,Florida,United States
Grantmakers Concerned with Immigrants and Refugees," $105,000.00 ",6/25/2014,22,Sebastopol,California,United States
Hawaii Community Foundation," $78,000.00 ",8/28/2014,16,Honolulu,Hawaii,United States
"Kids In Need of Defense, Inc."," $75,000.00 ",9/6/2014,12,Washington,District of Columbia,United States
Mi Familia Vota Education Fund," $75,000.00 ",9/18/2014,12,Phoenix,Arizona,United States
Migration Policy Institute," $235,000.00 ",9/19/2014,24,Washington,District of Columbia,United States
Moore and Associates ," $65,000.00 ",7/9/2014,12,New York,New York,United States
National Association of Latino Elected Officials NALEO Education Fund," $20,000.00 ",10/4/2014,9,Los Angeles,California,United States
National Day Laborer Organizing Network," $101,000.00 ",6/25/2014,12,Los Angeles,California,United States
"National Domestic Workers Alliance, Inc"," $100,000.00 ",12/11/2014,6,New York,New York,United States
National Immigration Law Center," $93,000.00 ",12/11/2014,12,Los Angeles,California,United States
National Partnership for New Americans," $50,000.00 ",6/25/2014,12,Chicago,Illinois,United States
New Orleans Workers Center for Racial Justice," $100,000.00 ",6/25/2014,12,New Orleans,Louisiana,United States
New York Community Trust," $225,500.00 ",12/11/2014,12,New York,New York,United States
Opportunity Agenda," $140,000.00 ",2/25/2014,24,New York,New York,United States
Pan Left Productions-Puente Human Rights Movement," $40,000.00 ",6/25/2014,12,Tuscon,Arizona,United States
PICO National Network," $100,000.00 ",6/25/2014,12,Oakland,California,United States
Presente.org," $81,000.00 ",2/25/2014,12,Berkeley,California,United States
"Proteus, Inc (For a pilot project to help DACA-eligible youth meet DACA's education requirements and to improve their vocational prospects)"," $20,000.00 ",12/11/2014,12,Visalia,California,United States
Public Interest Projects Inc. (Re-grant funds to regional groups)," $838,000.00 ",3/3/2014,12,New York,New York,United States
Race Forward," $25,000.00 ",10/14/2014,6,New York,New York,United States
United We Dream Network Inc.," $350,000.00 ",6/25/2014,12,Washington,District of Columbia,United States
Welcoming America Inc," $310,000.00 ",12/11/2014,24,Decatur,Georgia,United States
Women's Refugee Commission," $100,000.00 ",9/6/2014,12,New York,New York,United States
,,,,,,
,,,,,,
2013 Grants ,,,,,,
ACLU Foundation of Southern California," $100,000.00 ",12/18/2013,18,Los Angeles,California,United States
Air Traffic Control Education Fund Inc.," $25,000.00 ",12/12/2013,12,San Francisco,California,United States
American University," $25,000.00 ",8/8/2013,6,Washington,District of Columbia,United States
Arizona Dream Act Coalition," $50,000.00 ",11/19/2013,20,Phoenix,Arizona,United States
"Campaign for Accountable, Moral, and Balanced Immigration Overhaul (CAMBIO)"," $120,000.00 ",12/12/2013,6,,,United States
Caring Across Generations," $100,000.00 ",2/22/2013,12,New York,New York,United States
CultureStrike," $100,000.00 ",8/8/2013,12,Berkeley,California,United States
Center for Community Change," $50,000.00 ",12/18/2013,6,Washington,District of Columbia,United States
Coalition for Humane Immigrant Rights of Los Angeles," $65,000.00 ",12/12/2013,12,Los Angeles,California,United States
Define American," $100,000.00 ",12/12/2013,12,New York,New York,United States
Film Forum Inc," $12,000.00 ",8/5/2013,12,New York,New York,United States
Grantmakers Concerned with Immigrants and Refugees," $25,000.00 ",8/8/2013,12,Sebastopol,California,United States
Immigrant Legal Resource Center," $122,500.00 ",12/12/2013,18,San Francisco,California,United States
International Rescue Committee Inc.," $45,000.00 ",6/14/2013,12,New York,New York,United States
Mexican American Legal Defense and Education Fund ," $60,000.00 ",2/22/2013,12,Los Angeles,California,United States
Migration Policy Institute," $105,000.00 ",8/8/2013,12,Washington,District of Columbia,United States
National Day Laborer Organizing Network," $100,000.00 ",5/22/2013,12,Los Angeles,California,United States
"National Domestic Workers Alliance, Inc"," $55,000.00 ",8/8/2013,12,New York,New York,United States
National Hispanic Media Coalition," $100,000.00 ",5/22/2013,24,Pasedena,California,United States
National Immigration Law Center," $375,000.00 ",8/8/2013,24,Los Angeles,California,United States
New American Leaders Project," $25,000.00 ",5/24/2013,9,New York,New York,United States
New Orleans Workers Center for Racial Justice," $100,000.00 ",5/22/2013,12,New Orleans,Louisiana,United States
New York Community Trust ," $250,000.00 ",12/12/2013,12,New York,New York,United States
PICO National Network," $75,000.00 ",5/22/2013,12,Oakland,California,United States
Presente.org," $75,000.00 ",2/22/2013,12,Berkeley,California,United States
Public Interest Projects Inc.," $417,647.00 ",2/22/2013,12,New York,New York,United States
"Four Freedoms to Fund, to One Arizona Table"," $100,000.00 ",6/10/2013,12,New York,New York,United States
Regents of the University of California (DREAM summer National Leadership Program)," $60,000.00 ",5/22/2013,12,Los Angeles,California,United States
Regents of the University of California at San Diego (Survey of undocumented youth)," $30,000.00 ",12/12/2013,12,La Jolla,California,United States
"Regional Economic Models, Inc. (State by state analysis of the economic impact of CIR)"," $40,000.00 ",6/14/2013,4,Amherst,Massachusetts,United States
Southern Poverty Law Center Inc," $200,000.00 ",12/12/2013,24,Montgomery,Alabama,United States
Tides Foundation ," $150,000.00 ",2/22/2013,6,San Francisco,California,United States
Tides Foundation," $200,000.00 ",9/11/2013,4,San Francisco,California,United States
United We Dream Network Inc.," $225,000.00 ",2/22/2013,18,Washington,District of Columbia,United States
United We Dream Network Inc.," $250,000.00 ",8/8/2013,12,Washington,District of Columbia,United States
Welcoming America Inc," $250,000.00 ",5/22/2013,12,Decatur,Georgia,United States
Welcoming America Inc," $131,250.00 ",12/12/2013,18,Decatur,Georgia,United States
,,,,,,
,,,,,,
2012 Grants ,,,,,,
Air  Traffic Control Education Fund Inc.," $50,000.00 ",11/8/2012,12,San Francisco,California,United States
America's Voice Education Fund," $125,000.00 ",11/8/2012,18,Washington,District of Columbia,United States
American Civil Liberties Union Foundation Inc.," $250,000.00 ",11/8/2012,24,New York,New York,United States
American Immigration Council Inc.," $187,500.00 ",11/8/2012,18,Washington,District of Columbia,United States
Asian Americans Advancing Justice Los Angeles," $100,000.00 ",12/19/2012,12,Los Angeles,California,United States
Bus Project Foundation," $25,000.00 ",6/18/2012,12,Portland,Oregon,United States
Caring Across Generations," $125,000.00 ",2/26/2012,12,New York,New York,United States
Casa de Maryland Inc," $60,000.00 ",6/25/2012,12,Hyattsville,Maryland,United States
Center for Community Change," $50,000.00 ",7/25/2012,12,Washington,District of Columbia,United States
Coalition for Humane Immigrant Rights of Los Angeles," $65,000.00 ",11/8/2012,12,Los Angeles,California,United States
Define American," $100,000.00 ",12/17/2012,12,New York,New York,United States
Educators for Fair Consideration," $12,300.00 ",12/21/2012,12,San Francisco,California,United States
Grantmakers Concerned with Immigrants and Refugees," $105,000.00 ",7/25/2012,24,Sebastopol,California,United States
Grantmakers Concerned with Immigrants and Refugees," $19,267.00 ",12/3/2012,4,Sebastopol,California,United States
Grantmakers Concerned with Immigrants and Refugees," $100,000.00 ",12/19/2012,14,Sebastopol,California,United States
Leadership Conference Education Fund Inc," $50,000.00 ",7/25/2012,12,Washington,District of Columbia,United States
Mexican American Legal Defense and Education Fund ," $60,000.00 ",5/10/2012,12,Los Angeles,California,United States
Migration Policy Institute," $10,000.00 ",7/25/2012,12,Washington,District of Columbia,United States
Migration Policy Institute," $80,000.00 ",7/25/2012,12,Washington,District of Columbia,United States
National Day Laborer Organizing Network," $80,000.00 ",5/10/2012,12,Los Angeles,California,United States
National Hispanic Media Coalition," $75,000.00 ",2/26/2012,12,Pasedena,California,United States
National Immigration Forum Inc," $50,000.00 ",7/25/2012,12,Washington,District of Columbia,United States
National Immigration Law Center," $219,150.00 ",7/25/2012,15,Los Angeles,California,United States
National Immigration Law Center," $200,000.00 ",9/24/2012,12,Los Angeles,California,United States
Presente," $100,000.00 ",2/26/2012,12,Washington,District of Columbia,United States
API Online Organizing Project," $35,000.00 ",2/26/2012,12,Washington,District of Columbia,United States
United We Dream Network," $125,000.00 ",5/10/2012,9,Washington,District of Columbia,United States
CultureStrike," $70,000.00 ",7/25/2012,12,Washington,District of Columbia,United States
New Orleans Workers Center for Racial Justice," $125,000.00 ",2/26/2012,12,New Orleans,Louisiana,United States
New York Community Trust ," $99,084.00 ",7/25/2012,4,New York,New York,United States
New York Community Trust ," $265,000.00 ",12/18/2012,12,New York,New York,United States
Opportunity Agenda," $155,000.00 ",2/26/2012,24,New York,New York,United States
Four Freedoms Fund," $304,755.00 ",2/26/2012,12,New York,New York,United States
Public Interest Projects Inc. (Expand capacity of pro-immigrant groups to utilize nonpartisan voter engagement srategies to improve climate for immigrants)," $120,510.00 ",5/10/2012,12,New York,New York,United States
Four Freedoms Fund to One Arizona Table," $125,000.00 ",5/10/2012,12,New York,New York,United States
"Public Interest Projects Inc. (Re-granting to organizations to publicize opportunities, provide info, screen and offer legal services to defered action applicants)"," $172,500.00 ",9/24/2012,10,New York,New York,United States
TCC GROUP (Evaluation of the Collaborative Project on State Pro-Immigrant Advocacy)," $112,850.00 ",5/10/2012,24,New York,New York,United States
United We Dream Network Inc.," $25,000.00 ",2/26/2012,6,Washington,District of Columbia,United States
United We Dream Network Inc.," $300,000.00 ",7/25/2012,12,Washington,District of Columbia,United States
University of Southern California (An evaluation of the Dream Summer program)," $15,000.00 ",12/3/2012,6,Los Angeles,California,United States
Voto Latino Inc," $50,000.00 ",10/9/2012,9,Bethesda,Maryland,United States
Welcoming America Inc," $250,000.00 ",2/26/2012,12,Decatur,Georgia,United States
Welcoming America Inc," $87,000.00 ",11/8/2012,12,Decatur,Georgia,United States
,,,,,,
,,,,,,
2011 Grants ,,,,,,
ACLU Foundation of Southern California (To help immigrant communities and advocates engage and build alliances with local law enforcement)," $100,000.00 ",10/2/2011,18,Los Angeles,California,United States
Adelante California," $5,000.00 ",3/30/2011,3,Los Angeles,California,United States
Air Traffic Control Education Fund Inc.," $50,000.00 ",10/2/2011,12,San Francisco,California,United States
Coalition for Humane Immigrant Rights of Los Angeles," $55,000.00 ",10/2/2011,12,Los Angeles,California,United States
Community Initiatives," $29,000.00 ",10/2/2011,20,San Francisco,California,United States
Coro New York Leadership Center," $15,000.00 ",5/19/2011,12,New York,New York,United States
Define American," $75,000.00 ",10/2/2011,12,New York,New York,United States
Epidavros Project Inc," $25,000.00 ",8/5/2011,12,New York,New York,United States
Leadership Conference Education Fund Inc (Campaign to Stand Strong Against Attacks on Immigrants and the US Constitution)," $50,000.00 ",7/18/2011,12,Washington,District of Columbia,United States
Mexican American Legal Defense and Education Fund ," $60,000.00 ",7/18/2011,6,Los Angeles,California,United States
National Hispanic Media Coalition ," $75,000.00 ",2/12/2011,12,Pasedena,California,United States
National Immigration Forum Inc," $50,000.00 ",7/18/2011,12,Washington,District of Columbia,United States
National Immigration Law Center," $150,000.00 ",7/18/2011,12,Los Angeles,California,United States
Presente," $75,000.00 ",2/12/2011,12,Washington,District of Columbia,United States
CultureStrike," $70,000.00 ",7/18/2011,12,Washington,District of Columbia,United States
New York Community Trust ," $611,950.00 ",7/18/2011,24,New York,New York,United States
Opportunity Agenda," $75,000.00 ",1/5/2011,12,New York,New York,United States
Four Freedoms Fund," $345,000.00 ",2/12/2011,12,New York,New York,United States
Four Freedoms Fund," $50,000.00 ",11/23/2011,19,New York,New York,United States
Regents of the University of California at Berkley (Independent analysis of the impact on Secure Communities and the Criminal Alien Program)," $35,000.00 ",7/28/2011,6,Berkeley,California,United States
United We Dream Network Inc.," $200,000.00 ",7/18/2011,12,Washington,District of Columbia,United States
Welcoming America Inc," $55,000.00 ",7/18/2011,12,Decatur,Georgia,United States
Welcoming America Inc," $120,000.00 ",10/2/2011,12,Decatur,Georgia,United States
,,,,,,
,,,,,,
2010 Grants ,,,,,,
Air  Traffic Control Education Fund Inc.," $10,000.00 ",12/15/2010,12,San Francisco,California,United States
America's Voice Education Fund," $260,000.00 ",11/6/2010,24,Washington,District of Columbia,United States
American Civil Liberties Union Foundation Inc.," $300,000.00 ",11/6/2010,24,New York,New York,United States
American Immigration Council Inc.," $250,000.00 ",11/6/2010,24,Washington,District of Columbia,United States
Center for American Progress," $90,000.00 ",7/17/2010,12,Washington,District of Columbia,United States
Community Initiatives," $80,000.00 ",7/17/2010,15,San Francisco,California,United States
Discovery Children's Museum," $12,500.00 ",4/15/2010,12,Las Vegas,Nevada,United States
Grantmakers Concerned with Immigrants and Refugees," $80,000.00 ",7/17/2010,24,Sebastopol,California,United States
Innovation Network Inc.," $15,000.00 ",12/15/2010,12,Washington,District of Columbia,United States
Immigration Reform Collaboration Fund," $500,000.00 ",2/19/2010,12,San Francisco,California,United States
United We Dream Network Inc.," $250,000.00 ",7/17/2010,12,Washington,District of Columbia,United States
,,,,,,
,,,,,,
2009 Grants ,,,,,,
America's Voice Education Fund," $250,000.00 ",6/22/2009,18,Washington,District of Columbia,United States
American Civil Liberties Union Foundation Inc.," $250,000.00 ",6/22/2009,24,New York,New York,United States
Center for American Progress," $90,000.00 ",6/22/2009,12,Washington,District of Columbia,United States
Center for American Progress," $87,543.75 ",11/22/2009,12,Washington,District of Columbia,United States
Center for Community Change," $300,000.00 ",6/22/2009,18,Washington,District of Columbia,United States
Center for New Community," $300,000.00 ",6/22/2009,24,Chicago,Illinois,United States
Community Initiatives," $300,000.00 ",2/27/2009,60,San Francisco,California,United States
Grantmakers Concerned with Immigrants and Refugees," $125,000.00 ",6/22/2009,12,Sebastopol,California,United States
Media Matters for America," $150,000.00 ",11/22/2009,12,Washington,District of Columbia,United States
Migration Policy Institute," $95,000.00 ",12/1/2009,12,Washington,District of Columbia,United States
National Immigration Law Center," $250,000.00 ",6/22/2009,24,Los Angeles,California,United States
Four Freedoms Fund," $65,000.00 ",6/22/2009,12,New York,New York,United States
Four Freedoms Fund," $210,000.00 ",11/22/2009,12,New York,New York,United States
Southern Poverty Law Center Inc.," $300,000.00 ",11/22/2009,24,Montgomery,Alabama,United States
United We Dream Network Inc.," $200,000.00 ",6/22/2009,12,Washington,District of Columbia,United States
Welcoming America Inc," $240,000.00 ",11/22/2009,24,Decatur,Georgia,United States
,,,,,,
,,,,,,
2008 Grants ,,,,,,
American Immigration Council Inc.," $250,000.00 ",12/4/2008,24,Washington,District of Columbia,United States
Center for American Progress," $46,000.00 ",12/4/2008,12,Washington,District of Columbia,United States
Community Initiatives," $83,200.00 ",9/27/2008,4,San Francisco,California,United States
Discovery Children's Museum," $130,000.00 ",9/27/2008,51,Las Vegas,Nevada,United States
Epidavros Project Inc," $200,000.00 ",11/6/2008,10,New York,New York,United States
National Immigration Forum Inc," $300,000.00 ",12/4/2008,24,Washington,District of Columbia,United States
Opportunity Agenda," $500,000.00 ",9/27/2008,24,New York,New York,United States
Southern Poverty Law Center Inc," $150,000.00 ",9/27/2008,12,Montgomery,Alabama,United States
